№;телефон;причина обращения;решена проблема
1;79991234567;Не работает интернет;да
2;79997654321;Смена тарифа;нет
3;79001112233;Сброс пароля;да
4;79881234567;Подключение нового устройства;нет
5;79771234567;Вопрос по оплате;да
6;79601234567;Низкая скорость соединения;нет
7;79371234567;Проблемы со звонками;да
8;79261234567;Ошибка на сайте;нет
9;79061234567;Не приходит SMS;да
10;79891234567;Подозрение на мошенничество;нет
11;79061464232;Пропал интернет;нет
12;79041858668;Не загружается сайт;да
13;79012345566;Ошибка 404 на сайте;нет
14;709294723;Сломался интернет;нет
15;89012345678;Сломался телефон;да
16;79012234567;Сломался компьютер;нет
17;79022446604;Пропала связь;да
